"Number","DESPC","DESSC","DESWC","DESPL","DESPLd","DESSL","DESSLd","DESWLsy","DESWLsyd","DESWLlt","DESWLltd","PCNARz","PCNARp","PCSYNz","PCSYNp","PCCNCz","PCCNCp","PCREFz","PCREFp","PCDCz","PCDCp","PCVERBz","PCVERBp","PCCONNz","PCCONNp","PCTEMPz","PCTEMPp","CRFNO1","CRFAO1","CRFSO1","CRFNOa","CRFAOa","CRFSOa","CRFCWO1","CRFCWO1d","CRFCWOa","CRFCWOad","LSASS1","LSASS1d","LSASSp","LSASSpd","LSAPP1","LSAPP1d","LSAGN","LSAGNd","LDTTRc","LDTTRa","LDMTLD","LDVOCD","CNCAll","CNCCaus","CNCLogic","CNCADC","CNCTemp","CNCTempx","CNCAdd","CNCPos","CNCNeg","SMCAUSv","SMCAUSvp","SMINTEp","SMCAUSr","SMINTEr","SMCAUSlsa","SMCAUSwn","SMTEMP","SYNLE","SYNNP","SYNMEDpos","SYNMEDwrd","SYNMEDlem","SYNSTRUTa","SYNSTRUTt","DRNP","DRVP","DRAP","DRPP","DRPVAL","DRNEG","DRGERUND","DRINF","WRDNOUN","WRDVERB","WRDADJ","WRDADV","WRDPRO","WRDPRP1s","WRDPRP1p","WRDPRP2","WRDPRP3s","WRDPRP3p","WRDFRQc","WRDFRQa","WRDFRQmc","WRDAOAc","WRDFAMc","WRDCNCc","WRDIMGc","WRDMEAc","WRDPOLc","WRDHYPn","WRDHYPv","WRDHYPnv","RDFRE","RDFKGL","RDL2"
"8","2","4","92","2","0","23","5.292","1.772","1.08","5.348","3.293","-0.539","29.46","-1.298","9.85","-1.249","10.56","-1.725","4.27","-0.178","43.25","2.045","97.93","-3.637","0","2.136","98.34","0","0","0","0","0.167","0.333","0.049","0.042","0.05","0.039","0.175","0.122","0.209","0.151","0.281","0","0.174","0.133","0.868","0.771","117.295","0","97.826","21.739","43.478","21.739","10.87","10.87","65.217","0","0","10.87","21.739","0","0.5","1","0.124","0.844","1","4.75","0.682","0.692","0.956","0.913","0.057","0.051","282.609","260.87","0","86.957","0","32.609","54.348","21.739","206.522","119.565","152.174","54.348","43.478","21.739","0","0","0","0","2.266","2.99","0","406.167","569.833","332.929","372.1","435.05","4.737","5.423","1.725","1.456","33.579","14.29","11.342"
"47","2","2","17","1","0","8.5","1.414","2.118","1.111","6.882","2.998","-3.545","0","0.898","81.33","-0.339","36.69","-0.871","19.22","-2.965","0.15","-1.066","14.46","-7.745","0","2.369","99.09","0","0","0","0","0","0","0","0","0","0","0.032","0","0","0","0.032","0","0.019","0.027","0.875","0.889","45.36","0","117.647","0","0","0","0","0","117.647","0","0","58.824","58.824","58.824","0","0","0","0","1","0","2","0","0","0","0.033","0.033","235.294","117.647","58.824","0","0","0","0","0","352.942","58.824","294.118","235.294","0","0","0","0","0","0","1.489","1.489","0","408","546.6","318","364.5","420.833","3.059","6.833","1.5","2.5","19.025","12.717","-9.938"
"2","2","8","100","4","2.828","12.5","3.739","1.61","0.92","4.86","2.594","0.251","59.87","0.219","58.32","-0.787","21.77","-0.852","19.77","0.222","58.71","0.393","65.17","-3.313","0.05","0.617","72.91","0.429","0.429","0.429","0.357","0.429","0.464","0.061","0.077","0.061","0.081","0.141","0.213","0.151","0.168","0.35","0","0.241","0.157","0.82","0.723","101","98.24","90","20","40","20","10","0","60","0","0","40","50","0","0.2","1","0.052","0.525","0.929","4.25","0.769","0.659","0.899","0.855","0.11","0.108","310","340","20","90","10","20","40","50","220","190","110","50","60","10","20","10","0","20","2.518","2.995","1.637","350","576.857","335.333","372.633","431.706","4.778","5.051","1.596","1.443","57.942","8.283","20.802"
"25","2","15","192","7.5","0.707","12.8","7.372","1.552","0.996","4.37","2.943","1.321","90.66","-0.151","44.04","-1.102","13.57","-0.139","44.43","1.424","92.22","-0.934","17.62","-6.162","0","1.193","88.3","0","0.786","0","0.042","0.653","0.063","0.169","0.138","0.144","0.132","0.098","0.076","0.104","0.078","0.437","0","0.225","0.098","0.853","0.638","85.231","88.388","140.625","36.458","72.917","36.458","20.833","31.25","93.75","0","0","26.042","41.667","26.042","0.5","1","0.07","0.348","0.929","1.4","0.578","0.615","0.852","0.836","0.126","0.125","281.25","229.167","31.25","109.375","0","10.417","10.417","5.208","151.042","72.916","119.792","114.583","119.792","114.583","0","0","0","5.208","2.342","3.025","0.942","356.167","559.105","333.391","367.649","401.195","3.715","6.28","1.435","1.112","62.544","7.716","23.519"
"63","2","5","78","2.5","0.707","15.6","4.722","1.5","0.864","4.192","2.683","0.668","74.54","-0.805","21.19","-2.406","0.82","0.431","66.64","-0.997","16.11","1.126","86.86","-4.207","0","-0.287","38.97","0","0.75","0","0","0.7","0","0.147","0.13","0.133","0.106","0.228","0.108","0.213","0.128","0.487","0","0.233","0.16","0.814","0.692","63","0","115.385","25.641","25.641","0","12.821","12.821","89.744","0","0","12.821","12.821","0","0","2","0.2","0.497","0.75","2.8","0.8","0.654","0.823","0.804","0.153","0.132","307.692","256.41","76.923","51.282","0","0","0","12.821","179.488","38.463","102.564","115.385","128.205","115.385","0","0","0","0","2.371","2.943","0.99","356.25","580.531","296.355","348.188","382.708","3.464","6.093","1.145","1.22","64.101","8.194","24.672"
"53","2","12","169","6","0","14.083","8.856","1.692","1.069","4.462","3.251","1.672","95.25","-0.756","22.66","-1.766","3.92","0.532","70.19","1.343","90.99","-0.98","16.35","-5.377","0","2.213","98.64","0","0.818","0","0.015","0.831","0.031","0.197","0.121","0.216","0.122","0.166","0.09","0.167","0.099","0.502","0","0.252","0.106","0.847","0.576","67.458","54.386","153.846","29.586","65.089","29.586","29.586","0","88.757","0","0","17.751","35.503","11.834","0.75","1.333","0.082","0.407","1","1","0.615","0.676","0.871","0.871","0.103","0.128","295.858","242.604","35.503","82.84","5.917","5.917","5.917","29.586","130.178","65.088","118.343","112.426","153.846","142.012","0","0","0","5.917","2.29","2.956","0.862","366.667","564.319","327.476","361.021","379.406","3.473","6.325","1.65","1.05","49.398","9.868","22.424"
"65","2","17","269","8.5","0.707","15.824","8.323","1.468","0.862","4.216","2.782","1.24","89.25","-0.416","34.09","-1.872","3.07","0.552","70.88","3.538","100","1.268","89.62","-1.058","14.69","2.109","98.21","0.188","0.625","0.313","0.157","0.661","0.235","0.159","0.129","0.133","0.113","0.209","0.146","0.238","0.165","0.443","0","0.355","0.12","0.662","0.454","57.782","69.633","141.264","52.045","63.197","3.717","33.457","29.74","48.327","0","0","29.74","55.762","3.717","0.778","5","0.12","0.641","1","2.118","0.493","0.657","0.847","0.844","0.123","0.119","319.703","297.398","26.022","81.784","3.717","7.435","18.587","37.175","148.699","126.393","118.959","48.327","152.416","111.524","0","0","0","26.022","2.485","3.096","1.319","374.167","585.684","304.17","352.327","408.268","4.889","6.312","1.49","1.204","66.581","7.904","25.986"
"50","2","5","100","2.5","0.707","20","6.819","1.56","0.925","4.63","2.939","0.679","74.86","-1.961","2.5","-0.356","36.32","0.636","73.57","-0.684","24.83","1.955","97.44","-1.937","2.68","1.221","88.88","0","1","0","0.2","1","0.2","0.147","0.036","0.204","0.093","0.144","0.138","0.136","0.132","0.426","0","0.208","0.133","0.803","0.66","80.606","63.592","90","10","20","10","30","0","50","0","0","40","50","0","0.2","1","0.137","0.728","1","5","0.667","0.54","0.881","0.862","0.127","0.095","390","240","30","60","0","0","10","30","230","50","140","50","140","120","0","0","0","0","2.527","2.907","0.87","357.333","578.367","331.733","380.184","428.139","4.813","6.539","1.471","1.606","54.559","10.618","26.549"
"11","2","9","186","4.5","2.121","20.667","9.233","1.258","0.558","3.613","1.973","1.841","96.71","-0.481","31.56","0.159","55.96","0.667","74.54","1.167","87.7","0.274","60.64","-3.93","0","-2.586","0.49","0.375","0.875","0.5","0.278","0.694","0.306","0.141","0.134","0.126","0.12","0.144","0.145","0.115","0.126","0.468","0","0.25","0.144","0.773","0.591","83.549","82.689","96.774","26.882","64.516","37.634","32.258","32.258","59.14","0","0","26.882","37.634","21.505","0.333","0.6","0.074","0.508","0.625","5.889","0.704","0.666","0.882","0.865","0.076","0.075","344.086","263.441","43.011","69.892","5.376","5.376","10.753","37.634","166.667","112.904","91.398","86.021","145.161","107.527","5.376","0","5.376","10.753","2.635","3.166","1.508","266.647","591.756","347.26","387.878","424.791","5.106","6.316","1.282","1.235","79.431","7.315","25.506"
"21","2","9","201","4.5","2.121","22.333","8.544","1.328","0.665","3.741","2.055","1.937","97.32","-1.77","3.84","-0.794","21.48","0.812","79.1","2.324","98.98","0.509","69.15","-3.808","0","0.783","78.23","0","0.75","0.125","0","0.861","0.083","0.177","0.102","0.2","0.094","0.241","0.132","0.238","0.149","0.62","0","0.31","0.15","0.84","0.552","67.848","63.18","154.229","34.826","49.751","14.925","44.776","14.925","79.602","0","0","9.95","34.826","4.975","1.667","2","0.078","0.494","0.875","2.556","0.605","0.651","0.891","0.891","0.076","0.061","283.582","263.682","29.851","79.602","0","0","9.95","19.9","154.229","94.527","104.477","74.627","139.304","124.378","0","0","0","4.975","2.565","3.086","0.933","342.063","587.346","312.986","358.923","408.242","4.714","6.11","1.372","1.189","71.818","8.79","25.829"
"49","2","2","17","1","0","8.5","2.121","1.706","0.849","5.765","2.948","-0.501","30.85","0.791","78.52","0.053","51.99","0.943","82.64","1.827","96.56","4.215","100","-7.869","0","2.206","98.61","0","0","1","0","0","1","0","0","0","0","0.085","0","0","0","0.085","0","0.051","0.072","0.923","0.882","40.46","0","176.471","58.824","58.824","0","0","58.824","117.647","0","0","58.824","58.824","0","0","1","0.19","0.5","1","0","0.333","0","0","0","0.05","0.05","176.471","352.941","117.647","58.824","0","58.824","235.294","0","235.294","235.294","117.647","176.471","0","0","0","0","0","0","2.6","2.933","1.41","290","589.8","334.222","382.3","449.556","5.476","7","2.169","1.746","53.88","7.856","15.766"
"44","2","8","122","4","0","15.25","6.948","1.434","0.881","3.893","2.502","0.8","78.52","-1.608","5.48","0.037","51.2","1.017","84.38","0.372","64.43","2.674","99.62","-5.187","0","2.075","98.08","0","1","0","0.036","1","0.071","0.167","0.096","0.162","0.068","0.232","0.113","0.219","0.093","0.384","0","0.253","0.114","0.892","0.618","47.82","47.572","139.344","32.787","24.59","8.197","8.197","32.787","98.361","0","0","8.197","16.393","0","0.5","4","0.164","0.647","1","1","0.724","0.592","0.773","0.764","0.149","0.161","295.082","360.656","32.787","73.771","0","0","8.197","49.18","172.131","98.361","122.95","40.984","98.361","90.164","0","0","0","8.197","2.54","3.21","1.253","344","581.447","350.545","393.17","417.27","4.634","6.929","1.443","1.408","70.04","7.279","29.233"
"66","2","10","183","5","1.414","18.3","12.34","1.404","0.865","4.038","2.632","2.483","99.34","-0.997","16.11","-1.065","14.46","1.038","84.85","1.735","95.82","0.387","64.8","-2.54","0.55","-1.065","14.46","0","1","0","0.022","1","0.022","0.196","0.093","0.189","0.068","0.138","0.096","0.141","0.109","0.468","0","0.26","0.128","0.83","0.571","64.784","68.431","109.29","38.251","60.109","21.858","21.858","21.858","54.645","0","0","27.322","38.251","5.464","0.333","3.5","0.115","0.483","0.722","2.4","0.5","0.721","0.865","0.861","0.112","0.097","295.082","349.727","60.109","65.574","0","10.929","43.716","32.787","131.147","147.54","65.573","87.432","169.399","136.612","0","0","0","10.929","2.619","3.09","1.54","326.333","584.836","318.613","360.716","417.153","4.777","5.87","1.535","1.128","69.482","8.114","30.236"
"57","2","6","87","3","0","14.5","7.342","1.483","0.776","4.011","2.409","0.362","64.06","-1.166","12.3","-3.979","0","1.154","87.49","-2.459","0.71","4.508","100","1.261","89.62","1.67","95.15","0.2","0.6","0.2","0.333","0.733","0.467","0.163","0.174","0.213","0.181","0.213","0.122","0.243","0.123","0.577","0","0.284","0.17","0.723","0.575","44.03","0","22.989","0","22.989","0","11.494","11.494","11.494","0","0","11.494","11.494","0","0","0","0.387","0.833","1","3.167","0.885","0.625","0.872","0.819","0.094","0.179","402.299","183.908","34.483","103.448","0","11.494","0","22.989","206.897","68.965","114.943","57.471","103.448","103.448","0","0","0","0","2.831","3.238","1.603","386.5","583.132","309.892","358.526","374.679","4.383","6.118","1.289","1.363","66.656","7.564","32.115"
"30","2","11","255","5.5","0.707","23.182","8.4","1.478","0.85","4.184","2.695","2.039","97.88","-1.367","8.69","-1.77","3.84","1.184","88.1","1.328","90.66","0.113","54.38","-3.129","0.09","0.96","83.15","0.3","0.9","0.3","0.091","0.891","0.127","0.2","0.121","0.199","0.096","0.192","0.126","0.22","0.131","0.629","0","0.323","0.125","0.774","0.541","74.976","69.089","117.647","39.216","50.98","23.529","23.529","7.843","58.824","0","0","19.608","47.059","19.608","1.167","1.333","0.122","0.649","0.9","1.182","0.537","0.645","0.873","0.854","0.099","0.077","309.804","250.98","54.902","94.118","3.922","23.529","23.529","15.686","145.098","98.039","98.039","101.961","141.177","137.255","0","0","0","0","2.589","3.064","0.513","376.65","579.691","317.012","360.309","405.808","4.305","6.264","1.549","1.147","58.266","10.891","28.978"
"4","2","14","219","7","1.414","15.643","5.746","1.553","0.949","4.256","2.865","1.628","94.74","-0.516","30.5","-2.476","0.68","1.196","88.3","0.945","82.64","-0.569","28.77","-4.269","0","0.85","80.23","0.077","0.769","0.154","0.082","0.788","0.165","0.213","0.133","0.213","0.14","0.275","0.174","0.286","0.168","0.644","0","0.377","0.138","0.67","0.493","59.362","64.994","123.288","27.397","73.059","27.397","13.699","13.699","77.626","0","0","18.265","36.53","9.132","0.8","1","0.131","0.395","0.885","2.786","0.533","0.671","0.863","0.852","0.101","0.099","324.201","251.142","54.795","82.192","0","0","4.566","18.265","141.552","68.493","118.721","95.89","159.817","136.986","0","0","0","4.566","2.471","3.027","1.168","440.111","584.81","308.294","360.532","390.868","3.808","5.615","1.387","0.98","59.574","8.836","27.142"
"40","2","15","221","7.5","2.121","14.733","4.28","1.362","0.717","4.068","2.363","2.008","97.72","-1.215","11.31","-1.094","13.79","1.199","88.3","-0.318","37.83","0.874","80.78","-1.726","4.27","0.105","53.98","0.071","0.857","0.071","0.147","0.884","0.189","0.205","0.109","0.202","0.102","0.139","0.1","0.14","0.105","0.578","0","0.274","0.106","0.761","0.541","70.232","61.146","81.448","22.624","31.674","18.1","18.1","9.05","40.724","0","0","27.149","40.724","13.575","0.429","1","0.101","0.577","0.857","2.067","0.397","0.623","0.84","0.831","0.119","0.1","371.041","253.394","31.674","113.122","0","13.575","4.525","27.149","149.321","81.448","95.023","67.873","140.272","122.172","0","0","0","22.624","2.627","3.131","1.095","324.417","588.108","329.913","373.041","425.714","4.177","5.558","1.41","1.01","76.656","6.227","31.311"
