date,positive,negative,id,code
11/4/19 9:40,"One of my positive personal qualities is that I am a hard and diligent worker. I also care deeply for others and go out of my way to help those in need, oftentimes putting their issues ahead of my own. I am honest and will tell those closest to me the complete truth, even if it is not what they want to hear. I am a good listener and am open at any time for whenever a friend or family member needs to vent or blow off some steam. I am strong, and have proven this quality to myself over the last year and a half as I have gone through the worst and most difficult time of my life during that period but managed to come out better on the other side. I am independent, but am willing to ask for help when I know I need it which I find is something a lot of people struggle with. I do my best each and every day to leave a positive impact on the world, whether it be something as simple as throwing out trash I find on the floor. I am sociable and enjoy talking with strangers and meeting new people every day.","One of my negative qualities is that I am a push-over and often get forced into doing other people's work for them rather than just simply helping them finish it. I am also overly sensitive and oftentimes blow small issues out of proportion and often end up causing bigger problems as a result. I am lazy, which oftentimes keeps me inside the house rather than being outside and experiencing the world with my friends. I am also a flake and oftentimes cancel last minute on plans because I no longer have the desire to get dressed and leave my house. I talk too much and oftentimes over the person I am having a conversation with. I am insecure and think badly about myself and what others think of me.",1,5
11/4/19 9:42,One of the most important qualities is being helpful to others. We live in congested urban area that houses great amount of people. Each of them have unique personality and views. Helping others when in need or not goes beyond our personalities and views. Also understanding and trying to see others point of view is important. Approach others the same way you would like to be approached. ,I don't think anybody actually wants to have negative personal qualities. Trying to understand what causes people act certain way in some situation would allow to understand them and find common ground. ,2,0
11/4/19 9:54,"I enjoy learning about new cultures and languages. When I meet someone, I try to make a personal connection with them so our conversation is more easygoing. If someone that I know is feeling low, I listen to them without passing judgement. I try hard not to interrupt them or influence my op","I tend to discuss issues from an emotional standpoint and this can be a disadvantage because I am not able to express my perspective without getting emotional. Since I discuss issues from an emotional standpoint, I do not follow up with logical evidence to support my ideas.    I have a hard time remembering important things, such as during an exam as I am prone to second guessing myself. In general, I need to stand firm on my opinions while listening to others. ",3,0
11/4/19 10:35,"I think some of my positive personality qualities would be my emotional capabilities. I am very empathetic and able to communicate my feelings and emotional standing pretty well. Also, I am a very caring person and will be there for anyone that needs me. Along with my emotional capabilities, I am a very hardworking and passionate person. If I'm asked to do something I will always complete it to the best of my ability. Being passionate and caring kind of go hand in hand. I'm very passionate about everything I do because I am caring. It's hard for me to let go of a project or thing because of these traits, but I still view them as something good. ","One of the negative qualities I have is my communication. While I can communicate well, I feel like I sometimes communicate too much. I am very open about all of my experiences, but sometimes I can be too open and overshare or share at the wrong times. Another negative quality would be my emotions. I am diagnosed depressed, so I'm sad quite often and some days I wallow in that sad. I see this as a negative quality, but it's also something that is difficult to control because there is a physical aspect to it. ",4,0
11/4/19 10:39,*I'am a hard worker and try to do everything 100% * I my self believe as a caring person  * I am supportive  * I am protective  * I am a really a family person. ,"Some of my negative personal qualities are : * I'm really concern about how people think of me *I get angry really quick  * I am more like to introvert ,but I want to be extrovert. *If something happen to me , I think about particular situation every time and make me feel less sometimes.",5,0
11/4/19 10:40,"I believe my positive qualities are that I am observant, organized, determined and ambitious. In addition, I love to write, draw, and try my best to live a healthy lifestyle. ","I believe my negative qualities are that I sometimes appeal anti social ( limit time around people because they irritate me for whatever reason),  can be selfish, emotionless and tend to think or act ""superior"". ",6,0
11/4/19 11:30, I am nice. I am open minded. I am loud when speaking with people I know.  I am caring. I am look on the bright side of things. I try to help people as much as I can. ,I take things personally. I hold on to the past. I don't give people chances in certain situations  I procrastinate a lot.  I can be judgmental. I don't always say whats on my mind. ,7,1
11/4/19 11:33,"What is see as a positive personal quality is being a good leader this includes taking intiative, being kind hearted, and loving.Some skills i have are working with team skills and learning how to communicate to people without seeming bossy but more encouraging and taking each perspective into consideration.","Some of my negative personal qualities of mine are laziness,procrastination,unmotivated,no productivity and selfishness.These qualitites are really negative because it doesn't exude confidence but it shows someone who isn't willing to put in the work for the overall outcome.",8,0
11/4/19 11:36,"I feel like I have great leadership abilities. I'm musically inclined and can play 3 instruments (piano, saxophone, flute), I can sing and I love to act. Of those 3 instruments I'm self taught on piano and flute and love to help teach/tutor people. I am very math and science focused. I am compassionate with others, and passionate about the topics and activities I enjoy","I can be really mean to others who don't see things my way. I'm clingy and possessive of relationships, and jealous. Some of the comments I make can be seen as passive aggressive or snarky. I get distracted easily and procrastinate on my work. I always expect the highest when I don't always deserve it. ",9,1
11/4/19 13:25,"The positive personalities I have are helping others, playing around, determined.","The negative personal qualities I have are impatient, short temper, and getting annoyed really fast.",10,0
